Intervalo (seg),Throughput (Mbits/sec)
0.0000-1.0000,15400.0
1.0000-2.0000,15500.0
2.0000-3.0000,15400.0
3.0000-4.0000,15500.0
4.0000-5.0000,15300.0
5.0000-6.0000,15300.0
6.0000-7.0000,15300.0
7.0000-8.0000,15400.0
8.0000-9.0000,15100.0
9.0000-10.0000,15500.0
10.0000-11.0000,15000.0
11.0000-12.0000,15300.0
12.0000-13.0000,13300.0
13.0000-14.0000,9720.0
14.0000-15.0000,13600.0
15.0000-16.0000,15000.0
16.0000-17.0000,14800.0
17.0000-18.0000,14700.0
18.0000-19.0000,15400.0
19.0000-20.0000,15500.0
20.0000-21.0000,15500.0
21.0000-22.0000,15500.0
22.0000-23.0000,15100.0
23.0000-24.0000,15500.0
24.0000-25.0000,15500.0
25.0000-26.0000,15500.0
26.0000-27.0000,15400.0
27.0000-28.0000,15500.0
28.0000-29.0000,15000.0
29.0000-30.0000,15500.0
30.0000-31.0000,14900.0
31.0000-32.0000,15200.0
32.0000-33.0000,15300.0
33.0000-34.0000,15300.0
34.0000-35.0000,15000.0
35.0000-36.0000,14300.0
36.0000-37.0000,13500.0
37.0000-38.0000,15400.0
38.0000-39.0000,15400.0
39.0000-40.0000,14000.0
40.0000-41.0000,13900.0
41.0000-42.0000,15300.0
42.0000-43.0000,15500.0
43.0000-44.0000,15500.0
44.0000-45.0000,15500.0
45.0000-46.0000,15500.0
46.0000-47.0000,15400.0
47.0000-48.0000,15400.0
48.0000-49.0000,15500.0
49.0000-50.0000,15500.0
50.0000-51.0000,11000.0
51.0000-52.0000,9640.0
52.0000-53.0000,9700.0
53.0000-54.0000,15100.0
54.0000-55.0000,12100.0
55.0000-56.0000,13400.0
56.0000-57.0000,15300.0
57.0000-58.0000,12100.0
58.0000-59.0000,15100.0
59.0000-60.0000,14300.0
60.0000-61.0000,15300.0
61.0000-62.0000,15300.0
62.0000-63.0000,15300.0
63.0000-64.0000,15300.0
64.0000-65.0000,15200.0
65.0000-66.0000,15100.0
66.0000-67.0000,15300.0
67.0000-68.0000,15400.0
68.0000-69.0000,15300.0
69.0000-70.0000,15400.0
70.0000-71.0000,15300.0
71.0000-72.0000,15100.0
72.0000-73.0000,13400.0
73.0000-74.0000,15300.0
74.0000-75.0000,15200.0
75.0000-76.0000,15300.0
76.0000-77.0000,15200.0
77.0000-78.0000,15300.0
78.0000-79.0000,15300.0
79.0000-80.0000,15100.0
80.0000-81.0000,15300.0
81.0000-82.0000,15300.0
82.0000-83.0000,15300.0
83.0000-84.0000,14700.0
84.0000-85.0000,9640.0
85.0000-86.0000,9670.0
86.0000-87.0000,9620.0
87.0000-88.0000,9660.0
88.0000-89.0000,9690.0
89.0000-90.0000,9720.0
90.0000-91.0000,9710.0
91.0000-92.0000,9690.0
92.0000-93.0000,9630.0
93.0000-94.0000,15100.0
94.0000-95.0000,14100.0
95.0000-96.0000,14500.0
96.0000-97.0000,15200.0
97.0000-98.0000,10300.0
98.0000-99.0000,13700.0
99.0000-100.0000,15300.0
100.0000-101.0000,15300.0
101.0000-102.0000,14600.0
102.0000-103.0000,15100.0
103.0000-104.0000,15200.0
104.0000-105.0000,15400.0
105.0000-106.0000,15300.0
106.0000-107.0000,14100.0
107.0000-108.0000,14300.0
108.0000-109.0000,15100.0
109.0000-110.0000,15100.0
110.0000-111.0000,15000.0
111.0000-112.0000,12600.0
112.0000-113.0000,15100.0
113.0000-114.0000,11200.0
114.0000-115.0000,12900.0
115.0000-116.0000,14600.0
116.0000-117.0000,15100.0
117.0000-118.0000,15100.0
118.0000-119.0000,15200.0
119.0000-120.0000,15200.0
0.0000-120.0073,14300.0
