------------------------------------------------------------
Client connecting to 172.19.0.2, TCP port 5001
TCP window size: 16.0 KByte (default)
------------------------------------------------------------
[  1] local 172.18.0.2 port 37782 connected with 172.19.0.2 port 5001 (icwnd/mss/irtt=14/1448/6510)
[ ID] Interval       Transfer     Bandwidth
[  1] 0.0000-1.0000 sec  2.85 GBytes  24.4 Gbits/sec
[  1] 1.0000-2.0000 sec  2.54 GBytes  21.8 Gbits/sec
[  1] 2.0000-3.0000 sec  2.54 GBytes  21.8 Gbits/sec
[  1] 3.0000-4.0000 sec  2.64 GBytes  22.7 Gbits/sec
[  1] 4.0000-5.0000 sec  2.59 GBytes  22.2 Gbits/sec
[  1] 5.0000-6.0000 sec  2.93 GBytes  25.2 Gbits/sec
[  1] 6.0000-7.0000 sec  3.01 GBytes  25.8 Gbits/sec
[  1] 7.0000-8.0000 sec  2.44 GBytes  21.0 Gbits/sec
[  1] 8.0000-9.0000 sec  2.97 GBytes  25.5 Gbits/sec
[  1] 9.0000-10.0000 sec  2.16 GBytes  18.5 Gbits/sec
[  1] 10.0000-11.0000 sec  2.69 GBytes  23.1 Gbits/sec
[  1] 11.0000-12.0000 sec  2.79 GBytes  23.9 Gbits/sec
[  1] 12.0000-13.0000 sec  1.42 GBytes  12.2 Gbits/sec
[  1] 13.0000-14.0000 sec  1.90 GBytes  16.3 Gbits/sec
[  1] 14.0000-15.0000 sec  2.96 GBytes  25.4 Gbits/sec
[  1] 15.0000-16.0000 sec  2.97 GBytes  25.5 Gbits/sec
[  1] 16.0000-17.0000 sec  2.42 GBytes  20.8 Gbits/sec
[  1] 17.0000-18.0000 sec  1.48 GBytes  12.7 Gbits/sec
[  1] 18.0000-19.0000 sec  2.90 GBytes  24.9 Gbits/sec
[  1] 19.0000-20.0000 sec  2.90 GBytes  24.9 Gbits/sec
[  1] 20.0000-21.0000 sec  2.39 GBytes  20.5 Gbits/sec
[  1] 21.0000-22.0000 sec  2.34 GBytes  20.1 Gbits/sec
[  1] 22.0000-23.0000 sec  2.96 GBytes  25.4 Gbits/sec
[  1] 23.0000-24.0000 sec  2.86 GBytes  24.6 Gbits/sec
[  1] 24.0000-25.0000 sec  2.95 GBytes  25.3 Gbits/sec
[  1] 25.0000-26.0000 sec  2.33 GBytes  20.0 Gbits/sec
[  1] 26.0000-27.0000 sec  2.82 GBytes  24.2 Gbits/sec
[  1] 27.0000-28.0000 sec  2.88 GBytes  24.7 Gbits/sec
[  1] 28.0000-29.0000 sec  2.80 GBytes  24.1 Gbits/sec
[  1] 29.0000-30.0000 sec  2.94 GBytes  25.2 Gbits/sec
[  1] 30.0000-31.0000 sec  2.48 GBytes  21.3 Gbits/sec
[  1] 31.0000-32.0000 sec  2.93 GBytes  25.2 Gbits/sec
[  1] 32.0000-33.0000 sec  2.96 GBytes  25.4 Gbits/sec
[  1] 33.0000-34.0000 sec  2.95 GBytes  25.3 Gbits/sec
[  1] 34.0000-35.0000 sec  2.88 GBytes  24.7 Gbits/sec
[  1] 35.0000-36.0000 sec  2.95 GBytes  25.3 Gbits/sec
[  1] 36.0000-37.0000 sec  2.96 GBytes  25.4 Gbits/sec
[  1] 37.0000-38.0000 sec  2.82 GBytes  24.2 Gbits/sec
[  1] 38.0000-39.0000 sec  2.98 GBytes  25.6 Gbits/sec
[  1] 39.0000-40.0000 sec  2.95 GBytes  25.4 Gbits/sec
[  1] 40.0000-41.0000 sec  2.97 GBytes  25.5 Gbits/sec
[  1] 41.0000-42.0000 sec  2.88 GBytes  24.8 Gbits/sec
[  1] 42.0000-43.0000 sec  2.98 GBytes  25.6 Gbits/sec
[  1] 43.0000-44.0000 sec  2.95 GBytes  25.3 Gbits/sec
[  1] 44.0000-45.0000 sec  2.97 GBytes  25.5 Gbits/sec
[  1] 45.0000-46.0000 sec  2.96 GBytes  25.5 Gbits/sec
